Max Fraud Score,Fraud Detected,GenAI Explanation
0.0005,0,✅ No suspicious behavior detected.
0.0,0,✅ No suspicious behavior detected.
0.0276,0,✅ No suspicious behavior detected.
0.7923,1,⚠️ Unusual activity pattern detected — possibly high-risk.
0.7204,1,⚠️ Unusual activity pattern detected — possibly high-risk.
0.2,0,✅ No suspicious behavior detected.
0.0,0,✅ No suspicious behavior detected.
0.0003,0,✅ No suspicious behavior detected.
0.9823,1,⚠️ Highly suspicious behavior with sudden score spike.
0.991,1,⚠️ Highly suspicious behavior with sudden score spike.
0.0355,0,✅ No suspicious behavior detected.
0.9321,1,⚠️ Highly suspicious behavior with sudden score spike.
0.9873,1,⚠️ Highly suspicious behavior with sudden score spike.
0.7309,1,⚠️ Unusual activity pattern detected — possibly high-risk.
0.3173,1,"⚠️ Slightly abnormal behavior, worth investigating."
0.9964,1,⚠️ Highly suspicious behavior with sudden score spike.
0.9974,1,⚠️ Highly suspicious behavior with sudden score spike.
0.3234,1,"⚠️ Slightly abnormal behavior, worth investigating."
0.335,1,"⚠️ Slightly abnormal behavior, worth investigating."
0.0077,0,✅ No suspicious behavior detected.
0.0002,0,✅ No suspicious behavior detected.
0.9999,1,⚠️ Highly suspicious behavior with sudden score spike.
0.7538,1,⚠️ Unusual activity pattern detected — possibly high-risk.
0.9996,1,⚠️ Highly suspicious behavior with sudden score spike.
0.9258,1,⚠️ Highly suspicious behavior with sudden score spike.
0.985,1,⚠️ Highly suspicious behavior with sudden score spike.
0.3115,1,"⚠️ Slightly abnormal behavior, worth investigating."
0.0055,0,✅ No suspicious behavior detected.
0.0019,0,✅ No suspicious behavior detected.
0.1763,0,✅ No suspicious behavior detected.
1.0,1,⚠️ Highly suspicious behavior with sudden score spike.
0.9082,1,⚠️ Highly suspicious behavior with sudden score spike.
1.0,1,⚠️ Highly suspicious behavior with sudden score spike.
